distrito,label,00h00,01h00,02h00,03h00,04h00,05h00,06h00,07h00,08h00,09h00,10h00,11h00,12h00,13h00,14h00,15h00,16h00,17h00,18h00,19h00,20h00,21h00,22h00,23h00
Distrito,"<span style=\"display:block; text-align:center; font-family:monospace; font-size:13px;\"><span style=\"float:left; font-weight:bold;\">00h</span><span style=\"float:right; font-weight:bold; margin-right:-1.1em;\">23h</span><span style=\"display:inline-block; width:calc(100% - 3.4em); border-top:1.5px solid grey; margin-top:-4em;\"></span></span>",,,,,,,,,,,,,,,,,,,,,,,,
Aveiro,,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3
Beja,,Amarelo@@2,Amarelo@@2,Amarelo@@2,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Amarelo@@2,Amarelo@@2,Amarelo@@2,Amarelo@@2,Amarelo@@2
Braga,,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3
Bragança,,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1
Castelo Branco,,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1
Coimbra,,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3
Évora,,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1
Faro,,Amarelo@@2,Amarelo@@2,Amarelo@@2,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Amarelo@@2,Amarelo@@2,Amarelo@@2,Amarelo@@2,Amarelo@@2
Guarda,,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1
